course,preUni,totalCount,mean,min,max,mode,modeCount
UP6541004 BACELOR KEJURUTERAAN PROSES DAN MAKANAN DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),1,3.71,3.71,3.71,3.71,1
UP6541004 BACELOR KEJURUTERAAN PROSES DAN MAKANAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),6,3.295,3.0,3.59,3.42,2
UP6541005 BACELOR SAINS OPERASI PEMBUATAN MAKANAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),2,3.415,3.33,3.5,[3.33 3.5 ],1
UP6545001 BACELOR SAINS BIOTEKNOLOGI DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),4,3.918,3.83,3.96,3.96,2
UP6545001 BACELOR SAINS BIOTEKNOLOGI DENGAN KEPUJIAN,大马高等教育文凭 (STPM),1,4.0,4.0,4.0,4.0,1
UP6581001 BACELOR SENI BINA LANDSKAP DENGAN KEPUJIAN,大马高等教育文凭 (STPM),5,2.936,2.42,3.59,[2.42 2.67 2.83 3.17 3.59],1
UP6581002 BACELOR SAINS SENI BINA DENGAN KEPUJIAN,大马高等教育文凭 (STPM),6,3.515,2.92,3.83,[2.92 3.42 3.5  3.67 3.75 3.83],1
UP6621001 BACELOR SAINS PERTANIAN DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),1,4.0,4.0,4.0,4.0,1
UP6621001 BACELOR SAINS PERTANIAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),1,3.0,3.0,3.0,3.0,1
UP6621001 BACELOR SAINS PERTANIAN DENGAN KEPUJIAN,文凭(DIPLOMA),6,3.475,3.0669999999999997,3.84,3.0669999999999997,2
UP6621002 BACELOR SAINS PENGURUSAN PERLADANGAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),1,3.17,3.17,3.17,3.17,1
"UP6621003 BACELOR SAINS BIOINDUSTRI (KAMPUS BINTULU, SARAWAK)",大马高等教育文凭 (STPM),2,2.625,2.58,2.67,[2.58 2.67],1
UP6621004 BACELOR PERTANIAN SAINS TERNAKAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),1,3.75,3.75,3.75,3.75,1
UP6621005 BACELOR SAINS PERNIAGAANTANI DENGAN KEPUJIAN,大马高等教育文凭 (STPM),1,3.75,3.75,3.75,3.75,1
UP6622001 BACELOR SAINS HORTIKULTUR DENGAN KEPUJIAN,大马高等教育文凭 (STPM),1,3.33,3.33,3.33,3.33,1
UP6622001 BACELOR SAINS HORTIKULTUR DENGAN KEPUJIAN,文凭(DIPLOMA),1,3.7,3.7,3.7,3.7,1
"UP6623001 BACELOR SAINS PERHUTANAN DENGAN KEPUJIAN (KAMPUS SERDANG, SELANGOR)",其他 (POLITEKNIK/ASASI/A-LEVEL 等),1,3.866,3.866,3.866,3.866,1
UP6623003 BACELOR SAINS TEKNOLOGI KAYU DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3,2.583,2.17,3.0,[2.17 2.58 3.  ],1
"UP6624001 BACELOR SAINS AKUAKULTUR DENGAN KEPUJIAN (KAMPUS SERDANG, SELANGOR)",文凭(DIPLOMA),2,3.432,3.25,3.613,[3.25  3.613],1
UP6640001 DOKTOR PERUBATAN VETERINAR,其他 (POLITEKNIK/ASASI/A-LEVEL 等),3,3.807,3.5,4.0,[3.5  3.92 4.  ],1
UP6640001 DOKTOR PERUBATAN VETERINAR,大学预科班 (MATRIKULASI),14,3.969,3.84,4.0,4.0,9
UP6640001 DOKTOR PERUBATAN VETERINAR,大马高等教育文凭 (STPM),3,3.893,3.84,3.92,3.92,2
UP6640001 DOKTOR PERUBATAN VETERINAR,文凭(DIPLOMA),2,3.966,3.9619999999999997,3.97,[3.962 3.97 ],1
UP6721001 DOKTOR PERUBATAN,其他 (POLITEKNIK/ASASI/A-LEVEL 等),7,3.99,3.96,4.0,4.0,4
UP6721001 DOKTOR PERUBATAN,大学预科班 (MATRIKULASI),7,3.994,3.96,4.0,4.0,6
UP6723001 BACELOR KEJURURAWATAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),2,3.13,3.09,3.17,[3.09 3.17],1
UP6726001 BACELOR SAINS DIETETIK DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),6,3.993,3.96,4.0,4.0,5
UP6726001 BACELOR SAINS DIETETIK DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3,3.36,3.25,3.5,[3.25 3.33 3.5 ],1
UP6726002 BACELOR SAINS PEMAKANAN DAN KESIHATAN KOMUNITI DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),8,4.0,4.0,4.0,4.0,8
UP6762001 BACELOR KAUNSELING DENGAN KEPUJIAN,大马高等教育文凭 (STPM),1,3.92,3.92,3.92,3.92,1
UP6862001 BACELOR SAINS KESIHATAN PERSEKITARAN DAN PEKERJAAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),4,3.755,3.59,3.84,3.84,2
